X184	I	3	55
X184	I	57	109
X184	I	111	163
X184	I	165	217
X184	I	219	271
X184	I	273	325
X184	I	327	379
X184	I	381	433
X184	I	435	487
X184	I	489	541
X184	I	543	595
X184	I	597	649
184	I	651	703
184	I	705	757
184	I	759	811
184	I	813	865
184	I	867	919
184	I	921	973
184	I	975	1027
184	I	1029	1081
184	I	1083	1135
184	I	1137	1189
184	I	1191	1243
184	I	1245	1297
184	I	1299	1351
184	I	1353	1405
184	I	1407	1459
184	I	1461	1513
184	I	1515	1567
X184	O	1569	1617
X184	O	1619	1667
X184	O	1669	1717
X184	O	1719	1767
X184	O	1769	1817
X184	O	1819	1867
X184	O	1869	1917
X184	O	1919	1967
X184	O	1969	2017
X184	O	2019	2067
X184	O	2069	2117
X184	O	2119	2167
X184	O	2169	2217
184	O	2219	2267
184	O	2269	2317
184	O	2319	2367
184	O	2369	2417
184	O	2419	2467
184	O	2469	2517
184	O	2519	2567
184	O	2569	2617
184	O	2619	2667
184	O	2669	2717
184	O	2719	2767
184	O	2769	2817
184	O	2819	2867
184	O	2869	2917
184	O	2919	2967
184	O	2969	3017
184	O	3019	3067
X590	I	3069	3158
X590	I	3160	3249
X590	I	3251	3340
X590	I	3342	3365
X590	I	3367	3456
X590	I	3458	3547
X590	I	3549	3638
X590	I	3640	3729
X590	I	3731	3820
X590	I	3822	3911
X590	I	3913	4002
X590	I	4004	4027
X590	I	4029	4052
X590	I	4054	4143
X590	I	4145	4234
X590	I	4236	4325
X590	I	4327	4416
X590	I	4418	4441
X590	I	4443	4532
X590	I	4534	4623
X590	I	4625	4714
X590	I	4716	4805
X590	I	4807	4855
590	I	4857	4946
590	I	4948	5037
590	I	5039	5128
590	I	5130	5219
590	I	5221	5310
590	I	5312	5401
590	I	5403	5492
590	I	5494	5583
590	I	5585	5674
590	I	5676	5765
590	I	5767	5856
590	I	5858	5947
590	I	5949	6038
590	I	6040	6129
590	I	6131	6154
590	I	6156	6245
590	I	6247	6336
590	I	6338	6427
590	I	6429	6518
590	I	6520	6568
590	I	6570	6659
590	I	6661	6750
590	I	6752	6841
590	I	6843	6932
590	I	6934	7023
590	I	7025	7114
590	I	7116	7205
590	I	7207	7296
590	I	7298	7387
590	I	7389	7478
590	I	7480	7569
590	I	7571	7660
590	I	7662	7751
590	I	7753	7842
590	I	7844	7933
590	I	7935	7983
X590	O	7985	8007
X590	O	8009	8031
X590	O	8033	8124
X590	O	8126	8217
X590	O	8219	8310
X590	O	8312	8334
X590	O	8336	8427
X590	O	8429	8520
X590	O	8522	8613
X590	O	8615	8706
X590	O	8708	8799
X590	O	8801	8892
X590	O	8894	8985
X590	O	8987	9009
X590	O	9011	9102
X590	O	9104	9126
X590	O	9128	9219
X590	O	9221	9312
X590	O	9314	9405
X590	O	9407	9498
X590	O	9500	9591
X590	O	9593	9684
590	O	9686	9708
590	O	9710	9732
590	O	9734	9825
590	O	9827	9918
590	O	9920	10011
590	O	10013	10104
590	O	10106	10197
590	O	10199	10290
590	O	10292	10383
590	O	10385	10476
590	O	10478	10569
590	O	10571	10662
590	O	10664	10755
590	O	10757	10848
590	O	10850	10941
590	O	10943	11034
590	O	11036	11127
590	O	11129	11220
590	O	11222	11313
590	O	11315	11337
590	O	11339	11361
590	O	11363	11454
590	O	11456	11547
590	O	11549	11640
590	O	11642	11733
590	O	11735	11826
590	O	11828	11919
590	O	11921	12012
590	O	12014	12105
590	O	12107	12198
590	O	12200	12291
590	O	12293	12384
590	O	12386	12477
590	O	12479	12570
590	O	12572	12663
X591T	I	12665	12687
591T	I	12689	12711
X591T	O	12713	12737
X591T	O	12739	12763
591T	O	12765	12789
591T	O	12791	12815
X528	I	12817	12870
X528	I	12872	12925
X528	I	12927	12980
X528	I	12982	13035
X528	I	13037	13090
X528	I	13092	13145
X528	I	13147	13200
X528	I	13202	13255
X528	I	13257	13310
X528	I	13312	13365
X528	I	13367	13420
X528	I	13422	13475
X528	I	13477	13530
X528	I	13532	13585
X528	I	13587	13640
X528	I	13642	13695
528	I	13697	13750
528	I	13752	13805
528	I	13807	13860
528	I	13862	13915
528	I	13917	13970
528	I	13972	14025
528	I	14027	14080
528	I	14082	14135
528	I	14137	14190
528	I	14192	14245
528	I	14247	14300
528	I	14302	14355
528	I	14357	14410
528	I	14412	14465
528	I	14467	14520
528	I	14522	14575
528	I	14577	14630
528	I	14632	14685
528	I	14687	14740
528	I	14742	14795
528	I	14797	14850
528	I	14852	14905
528	I	14907	14960
528	I	14962	15015
528	I	15017	15070
528	I	15072	15125
528	I	15127	15180
528	I	15182	15235
528	I	15237	15290
X528	O	15292	15323
X528	O	15325	15373
X528	O	15375	15423
X528	O	15425	15473
X528	O	15475	15523
X528	O	15525	15573
X528	O	15575	15623
X528	O	15625	15673
X528	O	15675	15723
X528	O	15725	15773
X528	O	15775	15823
X528	O	15825	15873
X528	O	15875	15923
X528	O	15925	15973
X528	O	15975	16023
X528	O	16025	16073
X528	O	16075	16123
528	O	16125	16173
528	O	16175	16223
528	O	16225	16273
528	O	16275	16323
528	O	16325	16373
528	O	16375	16423
528	O	16425	16473
528	O	16475	16523
528	O	16525	16573
528	O	16575	16623
528	O	16625	16673
528	O	16675	16723
528	O	16725	16773
528	O	16775	16823
528	O	16825	16873
528	O	16875	16923
528	O	16925	16973
528	O	16975	17023
528	O	17025	17073
528	O	17075	17123
528	O	17125	17173
528	O	17175	17223
528	O	17225	17273
528	O	17275	17323
528	O	17325	17373
528	O	17375	17423
528	O	17425	17473
528	O	17475	17523
528	O	17525	17573
